"DOC_TYP_PROC_ID","DOC_TYP_ID","INIT_RTE_NODE_ID","NM","INIT_IND","VER_NBR"
"2005","2011","2004","PRIMARY","1","2"
"2007","2012","2006","PRIMARY","1","2"
"2040","2023","2039","PRIMARY","1","1"
"2044","2024","2041","PRIMARY","1","1"
"2058","2029","2057","PRIMARY","1","1"
"2060","2030","2059","PRIMARY","1","1"
"2062","2031","2061","PRIMARY","1","1"
"2064","2032","2063","PRIMARY","1","1"
"2066","2033","2065","PRIMARY","1","1"
"2068","2034","2067","PRIMARY","1","1"
"2345","2282","2344","PRIMARY","1","1"
"2582","2440","2580","PRIMARY","1","1"
"2841","2680","2840","PRIMARY","1","2"
"2851","2683","2846","PRIMARY","1","1"
"2894","2704","2892","PRIMARY","1","4"
"2897","2707","2895","PRIMARY","1","1"
"2900","2995","2898","PRIMARY","1","1"
"2903","2996","2901","PRIMARY","1","1"
"2907","2997","2904","PRIMARY","1","1"
"2909","2998","2908","PRIMARY","1","1"
"2911","2999","2910","PRIMARY","1","1"
